continente,region,nacionalidad,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,accion_migratoria,anual,timeste_1,timeste_2,timeste_3,timeste_4,cuatrimestre_1,cuatrimestre_2,cuatrimestre_3,semestre_1,semestre_2,total_anual,dominicano,covid-19,gasto_timeste_1,gasto_timeste_2,gasto_timeste_3,gasto_timeste_4,gasto_promedio_anual,estadia_trimestre_1,estadia_trimestre_2,estadia_trimestre_3,estadia_trimestre_4,estadia_promedio_anual,proyectado
europa,europa_occidental,m?naco,8,12,7,3,4,4,3,8,2,3,7,9,entrada,2018,27,11,13,19,30,22,21,38,32,70,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_oriental,mongolia,6,3,4,11,1,3,1,0,0,1,5,10,entrada,2018,13,15,1,16,24,16,16,28,17,45,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_este,montenegro,4,1,9,11,2,3,4,4,3,2,5,7,entrada,2018,14,16,11,14,25,24,17,30,25,55,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,caribe,montserrat,2,5,5,5,2,2,0,0,1,0,1,4,entrada,2018,12,9,1,5,17,9,6,21,6,27,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_austral,mozambique,2,1,0,0,4,6,4,10,0,1,8,1,entrada,2018,3,10,14,10,3,24,10,13,24,37,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_sudoriental,myanmar(birmania),3,8,18,7,2,6,0,2,1,1,1,11,entrada,2018,29,15,3,13,36,17,14,44,16,60,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_austral,namibia,1,1,4,2,0,0,0,3,0,4,3,1,entrada,2018,6,2,3,8,8,5,8,8,11,19,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_del_sur,nepal,21,20,15,21,22,24,12,25,5,9,9,20,entrada,2018,56,67,42,38,77,104,43,123,80,203,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,centroamerica,nicaragua,325,291,311,363,228,315,324,357,251,275,277,259,entrada,2018,927,906,932,811,1290,1587,1062,1833,1743,3576,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_occidental,niger,2,0,1,0,1,2,9,0,2,0,2,2,entrada,2018,3,3,11,4,3,12,6,6,15,21,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_occidental,nigeria,54,42,51,143,92,75,104,110,87,79,70,70,entrada,2018,147,310,301,219,290,524,306,457,520,977,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_norte,noruega,806,825,530,147,111,292,485,116,118,203,274,465,entrada,2018,2161,550,719,942,2308,1151,1060,2711,1661,4372,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
oceania,australia_y_nueva_zelanda,nueva_zelanda,52,37,42,50,50,39,51,29,33,42,55,74,entrada,2018,131,139,113,171,181,219,204,270,284,554,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_occidental,oman,0,0,1,6,0,0,1,0,0,0,6,0,entrada,2018,1,6,1,6,7,7,6,7,7,14,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
indefinido,indefinido,otros,599,451,436,353,314,301,209,210,280,410,374,433,entrada,2018,1486,968,699,1217,1839,1387,1497,2454,1916,4370,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_occidental,paises_bajos_[hld],0,0,0,0,0,0,0,0,0,0,0,0,entrada,2018,0,0,0,0,0,0,0,0,0,0,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_occidental,paises_bajos_[nld],3937,2947,3264,4005,3762,3720,5743,3870,3179,3827,3766,5374,entrada,2018,10148,11487,12792,12967,14153,21100,16146,21635,25759,47394,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_del_sur,pakistan,47,28,80,41,43,41,34,41,44,51,49,51,entrada,2018,155,125,119,151,196,200,195,280,270,550,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
oceania,micronesia,palau,0,0,0,0,0,0,1,0,0,1,0,1,entrada,2018,0,0,1,2,0,1,2,0,3,3,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_occidental,palestina,1,0,2,0,0,3,4,0,1,5,3,4,entrada,2018,3,3,5,12,3,7,13,6,17,23,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,centroamerica,panama,1221,1564,1014,1022,997,1220,1481,1052,1222,1413,1942,1520,entrada,2018,3799,3239,3755,4875,4821,5772,6097,7038,8630,15668,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
oceania,melanesia,papua_nueva_guinea,0,0,0,0,0,1,0,1,0,0,2,0,entrada,2018,0,1,1,2,0,2,2,1,3,4,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,america_del_sur,paraguay,975,511,608,621,1085,777,429,470,538,823,644,946,entrada,2018,2094,2483,1437,2413,2715,3382,2951,4577,3850,8427,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,america_del_sur,peru,2529,3055,3077,2525,4349,2290,4374,3329,2679,4859,2856,3283,entrada,2018,8661,9164,10382,10998,11186,16867,13677,17825,21380,39205,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_este,polonia,6264,5370,3124,1987,1741,2119,3189,3560,3553,3735,5671,5727,entrada,2018,14758,5847,10302,15133,16745,12596,18686,20605,25435,46040,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_sur,portugal,2530,2490,2980,3766,3944,6066,6575,7342,4087,3143,2217,2853,entrada,2018,8000,13776,18004,8213,11766,27693,12300,21776,26217,47993,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,caribe,puerto_rico,1,1,5,0,0,1,2,0,0,1,1,0,entrada,2018,7,1,2,2,7,3,2,8,4,12,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
indefinido,indefinido,refugiado_i,6,16,38,14,23,24,31,40,29,14,16,34,entrada,2018,60,61,100,64,74,132,93,121,164,285,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
indefinido,indefinido,refugiado_ii,1,1,1,1,0,1,5,2,1,3,2,1,entrada,2018,3,2,8,6,4,9,7,5,14,19,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_norte,reino_unido,11416,11041,12523,16837,19222,18227,20302,20464,16750,16000,11115,10144,entrada,2018,34980,54286,57516,37259,51817,95052,54009,89266,94775,184041,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_norte,reino_unido_(ciudadano_extranjero),1,2,1,1,0,1,0,2,0,0,0,0,entrada,2018,4,2,2,0,5,4,0,6,2,8,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_norte,reino_unido_(ciudadanos_territorios_dependientes),199,228,340,297,292,260,390,448,283,276,205,457,entrada,2018,767,849,1121,938,1064,1687,1221,1616,2059,3675,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_norte,reino_unido_(nacional_en_el_extranjero),8,7,6,8,5,4,8,4,10,6,10,3,entrada,2018,21,17,22,19,29,29,29,38,41,79,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_norte,reino_unido_(persona_protegida),0,0,0,0,0,0,0,0,0,0,0,0,entrada,2018,0,0,0,0,0,0,0,0,0,0,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_norte,reino_unido_(sujeto),2,1,0,0,1,0,1,0,1,0,0,0,entrada,2018,3,1,2,0,3,2,1,4,2,6,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_central,republica_centroafricana,2,0,0,0,3,0,1,0,0,0,0,0,entrada,2018,2,3,1,0,2,4,0,5,1,6,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_central,republica_checa_(chequia),1309,1746,1430,896,592,725,544,406,737,794,1260,1314,entrada,2018,4485,2213,1687,3368,5381,3163,4105,6698,5055,11753,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_oriental,republica_de_corea,750,436,577,386,528,449,507,505,380,399,475,544,entrada,2018,1763,1363,1392,1418,2149,2375,1798,3126,2810,5936,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_austral,republica_de_sudafrica,73,59,94,74,78,76,90,46,55,56,68,132,entrada,2018,226,228,191,256,300,364,311,454,447,901,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_central,republica_del_congo,2,2,9,7,2,6,12,11,11,5,1,6,entrada,2018,13,15,34,12,20,38,23,28,46,74,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_central,republica_democratica_del_congo,2,3,4,5,5,7,6,2,2,6,3,4,entrada,2018,9,17,10,13,14,25,15,26,23,49,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,caribe,republica_dominicana,102734,58589,74394,75284,77443,86894,116896,107204,86290,84081,128519,254772,entrada,2018,235717,239621,310390,467372,311001,463721,553662,475338,777762,1253100,si,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_central,republica_eslovaca,72,166,242,128,101,202,121,62,66,122,196,257,entrada,2018,480,431,249,575,608,614,641,911,824,1735,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_oriental,republica_popular_democratica_de_corea,0,0,0,0,0,0,0,0,0,0,0,0,entrada,2018,0,0,0,0,0,0,0,0,0,0,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_oriental,reuni?n,0,0,0,0,0,0,0,0,1,0,0,0,entrada,2018,0,0,1,0,0,0,1,0,1,1,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_central,ruanda,6,2,2,5,3,10,9,6,3,2,4,6,entrada,2018,10,18,18,12,15,33,15,28,30,58,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_este,rumania,1226,873,801,958,731,733,630,650,839,1209,1185,1425,entrada,2018,2900,2422,2119,3819,3858,3702,4658,5322,5938,11260,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_este,rusia,19833,16189,17373,16304,15440,14389,16011,16138,16693,21210,23211,24163,entrada,2018,53395,46133,48842,68584,69699,78282,85277,99528,117426,216954,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
oceania,polinesia,samoa,0,1,0,0,2,0,0,0,0,0,0,1,entrada,2018,1,2,0,1,1,2,1,3,1,4,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,caribe,san_crist?bal_y_nieves,53,39,110,98,64,53,107,95,81,51,54,180,entrada,2018,202,215,283,285,300,417,366,417,568,985,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_sur,san_marino,6,14,9,8,0,3,0,1,1,1,9,16,entrada,2018,29,11,2,26,37,12,27,40,28,68,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,caribe,san_vicente_y_las_granadinas,17,22,26,49,23,23,45,34,24,31,26,32,entrada,2018,65,95,103,89,114,174,113,160,192,352,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,caribe,santa_lucia,22,27,23,33,40,24,56,66,25,41,30,41,entrada,2018,72,97,147,112,105,219,137,169,259,428,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_central,santo_tome_y_principe,0,0,0,0,0,0,0,0,0,0,1,0,entrada,2018,0,0,0,1,0,0,1,0,1,1,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_occidental,senegal,12,10,10,10,10,7,13,16,10,12,6,6,entrada,2018,32,27,39,24,42,56,34,59,63,122,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_este,serbia,281,187,190,139,141,188,110,115,113,190,218,236,entrada,2018,658,468,338,644,797,693,757,1126,982,2108,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_oriental,seychelles,0,0,0,0,0,3,0,1,1,0,0,1,entrada,2018,0,3,2,1,0,4,2,3,3,6,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_occidental,sierra_leona,4,0,4,4,4,8,10,5,2,2,3,3,entrada,2018,8,16,17,8,12,31,10,24,25,49,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_sudoriental,singapur,15,11,25,22,20,18,20,16,21,14,30,21,entrada,2018,51,60,57,65,73,96,86,111,122,233,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_occidental,siria,107,16,19,15,18,9,11,17,17,9,18,16,entrada,2018,142,42,45,43,157,70,60,184,88,272,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_oriental,somalia,1,0,0,0,0,2,0,0,2,0,0,0,entrada,2018,1,2,2,0,1,2,2,3,2,5,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_meridional,sri_lanka,48,18,27,19,21,35,29,40,27,34,50,28,entrada,2018,93,75,96,112,112,144,139,168,208,376,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_del_norte,sudan,0,0,2,1,0,1,0,0,1,0,2,5,entrada,2018,2,2,1,7,3,2,8,4,8,12,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_oriental,sudan_del_sur,0,0,0,0,1,0,0,0,0,0,0,0,entrada,2018,0,1,0,0,0,1,0,1,0,1,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_norte,suecia,4464,3766,3501,644,241,326,295,193,165,350,916,2981,entrada,2018,11731,1211,653,4247,12375,1699,4412,12942,4900,17842,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_central,suiza,3268,3551,3261,3781,2002,2067,4343,1508,2030,3570,2866,4480,entrada,2018,10080,7850,7881,10916,13861,13701,12946,17930,18797,36727,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,caribe,suriname,38,34,71,99,54,40,62,42,38,52,33,60,entrada,2018,143,193,142,145,242,297,183,336,287,623,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_austral,swazilandia,1,0,2,1,0,0,0,0,0,0,1,0,entrada,2018,3,1,0,1,4,1,1,4,1,5,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_sudoriental,tailandia,27,22,33,34,27,36,24,23,9,22,34,42,entrada,2018,82,97,56,98,116,144,107,179,154,333,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_oriental,taiwan,87,55,143,97,89,70,71,85,93,57,67,48,entrada,2018,285,256,249,172,382,412,265,541,421,962,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_oriental,tanzania,4,3,3,8,3,8,7,8,3,5,8,8,entrada,2018,10,19,18,21,18,34,24,29,39,68,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_central,tayikistan,3,5,6,0,4,4,4,3,6,2,1,2,entrada,2018,14,8,13,5,14,15,11,22,18,40,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_sudoriental,timor_del_este,0,0,0,0,0,0,0,0,0,0,0,0,entrada,2018,0,0,0,0,0,0,0,0,0,0,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_occidental,togo,4,1,2,2,6,3,5,1,3,1,5,2,entrada,2018,7,11,9,8,9,17,11,18,17,35,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
oceania,polinesia,tonga,0,3,0,0,0,0,0,2,0,0,0,2,entrada,2018,3,0,2,2,3,2,2,3,4,7,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,caribe,trinidad_y_tobago,129,218,544,237,281,264,1181,647,229,255,230,232,entrada,2018,891,782,2057,717,1128,2610,946,1673,2774,4447,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_del_norte,tunez,67,51,46,44,31,25,21,52,32,38,32,70,entrada,2018,164,100,105,140,208,173,172,264,245,509,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_central,turkmenistan,4,0,4,6,2,3,1,0,3,0,8,1,entrada,2018,8,11,4,9,14,12,12,19,13,32,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_occidental,turquia,571,420,476,467,317,306,401,253,248,283,300,427,entrada,2018,1467,1090,902,1010,1934,1744,1258,2557,1912,4469,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_este,ucrania,2884,1311,1219,1020,1149,930,874,798,1232,1587,3059,3342,entrada,2018,5414,3099,2904,7988,6434,4771,9220,8513,10892,19405,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_oriental,uganda,2,5,5,4,16,7,6,5,2,6,4,5,entrada,2018,12,27,13,15,16,38,17,39,28,67,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,america_del_sur,uruguay,1604,1552,2166,2794,3732,3595,2470,3021,2695,2868,2109,1238,entrada,2018,5322,10121,8186,6215,8116,15612,8910,15443,14401,29844,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_central,uzbekistan,78,60,28,45,41,16,46,53,58,20,43,42,entrada,2018,166,102,157,105,211,201,163,268,262,530,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
america,america_del_sur,venezuela,9960,8641,10190,9724,10244,8778,9507,10049,8986,8779,9038,11502,entrada,2018,28791,28746,28542,29319,38515,48302,38305,57537,57861,115398,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_sudoriental,vietnam,42,31,68,41,59,64,113,105,42,41,30,62,entrada,2018,141,164,260,133,182,382,175,305,393,698,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_occidental,yemen,4,1,2,4,1,1,2,2,2,2,2,2,entrada,2018,7,6,6,6,11,10,8,13,12,25,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_oriental,yibuti,0,0,0,1,0,1,0,0,0,0,0,0,entrada,2018,0,2,0,0,1,2,0,2,0,2,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_austral,zambia,6,6,2,9,3,5,15,4,5,3,3,2,entrada,2018,14,17,24,8,23,36,13,31,32,63,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_austral,zimbabue,5,6,8,8,6,8,28,24,11,12,11,13,entrada,2018,19,22,63,36,27,74,47,41,99,140,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
asia,asia_del_sur,afganistan,4,6,6,6,2,3,1,8,6,5,1,11,salida,2018,16,11,15,17,22,20,23,27,32,59,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_del_este,albania,117,110,111,66,111,167,134,174,181,124,82,75,salida,2018,338,344,489,281,404,652,462,682,770,1452,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_central,alemania,17809,15787,20910,20526,15510,13704,12816,12214,13963,15168,17011,16986,salida,2018,54506,49740,38993,49165,75032,74770,63128,104246,88158,192404,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
europa,europa_occidental,andorra,17,21,20,8,35,22,20,23,13,14,12,9,salida,2018,58,65,56,35,66,108,48,123,91,214,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
africa,africa_central,angola,16,3,7,5,1,4,3,19,8,3,9,2,salida,2018,26,10,30,14,31,32,22,36,44,80,no,pre-covid,136.3,137.26,135.91,136.39,136.48,8.35,8.34,8.67,8.11,8.37,no
