continente,region,nacionalidad,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,accion_migratoria,anual,timeste_1,timeste_2,timeste_3,timeste_4,cuatrimestre_1,cuatrimestre_2,cuatrimestre_3,semestre_1,semestre_2,total_anual,dominicano,covid-19,gasto_timeste_1,gasto_timeste_2,gasto_timeste_3,gasto_timeste_4,gasto_promedio_anual,estadia_trimestre_1,estadia_trimestre_2,estadia_trimestre_3,estadia_trimestre_4,estadia_promedio_anual,proyectado
europa,europa_del_norte,reino_unido_(ciudadanos_territorios_dependientes),485,245,352,317,519,300,327,453,476,402,281,188,salida,2019,1082,1136,1256,871,1399,1916,1347,2218,2127,4345,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
europa,europa_del_norte,reino_unido_(nacional_en_el_extranjero),12,6,11,3,21,10,8,7,9,8,8,7,salida,2019,29,34,24,23,32,49,32,63,47,110,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
europa,europa_del_norte,reino_unido_(sujeto),3,2,1,1,3,1,0,1,1,0,2,0,salida,2019,6,5,2,2,7,6,3,11,4,15,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_central,republica_centroafricana,2,2,0,0,0,0,1,0,0,1,0,0,salida,2019,4,0,1,1,4,1,1,4,2,6,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
europa,europa_central,republica_checa_(chequia),1145,1840,1677,836,1022,402,797,380,385,409,896,1203,salida,2019,4662,2260,1562,2508,5498,3437,2893,6922,4070,10992,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
asia,asia_oriental,republica_de_corea,577,498,478,418,631,428,477,476,345,328,445,691,salida,2019,1553,1477,1298,1464,1971,2430,1809,3030,2762,5792,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_austral,republica_de_sudafrica,107,64,102,76,133,72,68,68,57,59,55,119,salida,2019,273,281,193,233,349,417,290,554,426,980,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_central,republica_del_congo,3,3,1,4,1,0,1,2,4,6,4,2,salida,2019,7,5,7,12,11,8,16,12,19,31,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_central,republica_democratica_del_congo,11,9,6,5,7,8,13,11,10,3,10,7,salida,2019,26,20,34,20,31,44,30,46,54,100,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
america,caribe,republica_dominicana,235745,158936,180211,194938,155223,107128,123891,121310,109612,96557,89390,105330,salida,2019,574892,457289,354813,291277,769830,702490,400889,1032181,646090,1678271,si,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
europa,europa_central,republica_eslovaca,718,659,863,615,887,411,343,179,245,268,515,498,salida,2019,2240,1913,767,1281,2855,2435,1526,4153,2048,6201,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_oriental,reuni?n,0,0,0,0,0,0,0,0,0,0,0,0,salida,2019,0,0,0,0,0,0,0,0,0,0,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_central,ruanda,9,5,5,3,1,3,3,1,1,0,3,1,salida,2019,19,7,5,4,22,11,5,26,9,35,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
europa,europa_del_este,rumania,1927,1624,1073,765,1845,819,625,585,962,1349,1116,1138,salida,2019,4624,3429,2172,3603,5389,4639,4565,8053,5775,13828,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
europa,europa_del_este,rusia,23792,20032,19552,16775,19127,9074,11217,13070,14517,16389,20524,22312,salida,2019,63376,44976,38804,59225,80151,69263,73742,108352,98029,206381,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
oceania,polinesia,samoa,0,1,0,0,2,1,0,10,0,0,0,1,salida,2019,1,3,10,1,1,13,1,4,11,15,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
america,caribe,san_crist?bal_y_nieves,146,70,57,93,92,79,80,173,112,73,77,52,salida,2019,273,264,365,202,366,517,314,537,567,1104,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
europa,europa_del_sur,san_marino,5,21,20,15,3,3,1,4,6,1,7,9,salida,2019,46,21,11,17,61,26,23,67,28,95,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
america,caribe,san_vicente_y_las_granadinas,23,26,23,27,31,56,22,57,25,22,26,15,salida,2019,72,114,104,63,99,193,88,186,167,353,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
america,caribe,santa_lucia,30,29,33,54,56,44,44,67,30,56,39,25,salida,2019,92,154,141,120,146,265,150,246,261,507,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_central,santo_tome_y_principe,0,1,0,1,0,0,0,0,1,0,0,0,salida,2019,1,1,1,0,2,1,1,2,1,3,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_occidental,senegal,10,3,15,18,16,9,12,21,11,4,4,13,salida,2019,28,43,44,21,46,76,32,71,65,136,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
europa,europa_del_este,serbia,283,185,232,214,323,169,196,138,122,165,231,213,salida,2019,700,706,456,609,914,1040,731,1406,1065,2471,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_oriental,seychelles,0,0,1,1,0,0,0,1,0,0,0,1,salida,2019,1,1,1,1,2,2,1,2,2,4,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_occidental,sierra_leona,3,1,5,3,3,4,3,10,4,1,3,0,salida,2019,9,10,17,4,12,23,8,19,21,40,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
asia,asia_sudoriental,singapur,17,13,49,57,31,22,21,12,11,27,29,42,salida,2019,79,110,44,98,136,143,109,189,142,331,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
asia,asia_occidental,siria,21,25,19,17,27,14,10,19,18,13,12,41,salida,2019,65,58,47,66,82,87,84,123,113,236,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_oriental,somalia,1,0,2,1,0,0,0,1,0,1,0,1,salida,2019,3,1,1,2,4,2,2,4,3,7,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
asia,asia_meridional,sri_lanka,27,16,33,30,23,27,47,41,24,23,26,64,salida,2019,76,80,112,113,106,168,137,156,225,381,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_del_norte,sudan,0,0,1,0,0,1,1,2,2,0,2,0,salida,2019,1,1,5,2,1,4,4,2,7,9,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_oriental,sudan_del_sur,0,0,0,0,0,0,0,0,1,0,0,0,salida,2019,0,0,1,0,0,0,1,0,1,1,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
europa,europa_del_norte,suecia,3521,2453,2361,765,394,208,299,206,140,256,568,2566,salida,2019,8335,1367,645,3390,9100,1872,3530,9702,4035,13737,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
europa,europa_central,suiza,4321,3281,3159,3642,3912,1836,2815,2947,1314,2762,2518,2482,salida,2019,10761,9390,7076,7762,14403,15152,9076,20151,14838,34989,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
america,caribe,suriname,33,49,66,37,126,54,46,30,35,65,34,18,salida,2019,148,217,111,117,185,293,152,365,228,593,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
europa,europa_del_norte,svalbard_y_jan_mayen,0,0,0,0,0,0,0,0,0,0,0,0,salida,2019,0,0,0,0,0,0,0,0,0,0,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_austral,swazilandia,0,0,0,0,1,0,0,0,0,0,1,0,salida,2019,0,1,0,1,0,1,1,1,1,2,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
asia,asia_sudoriental,tailandia,34,23,49,21,48,30,17,16,17,13,25,31,salida,2019,106,99,50,69,127,132,86,205,119,324,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
asia,asia_oriental,taiwan,57,103,81,76,107,68,88,91,63,99,67,97,salida,2019,241,251,242,263,317,430,326,492,505,997,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_oriental,tanzania,1,5,5,4,5,5,1,7,1,7,2,5,salida,2019,11,14,9,14,15,22,15,25,23,48,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
asia,asia_central,tayikistan,2,2,1,2,7,0,2,1,3,1,1,6,salida,2019,5,9,6,8,7,12,11,14,14,28,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_occidental,togo,2,3,7,13,5,4,1,2,3,2,1,0,salida,2019,12,22,6,3,25,25,6,34,9,43,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
oceania,polinesia,tonga,0,0,0,2,3,1,0,0,0,2,0,0,salida,2019,0,6,0,2,2,6,2,6,2,8,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
america,caribe,trinidad_y_tobago,198,232,239,314,449,446,1421,897,303,232,195,141,salida,2019,669,1209,2621,568,983,3527,871,1878,3189,5067,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
africa,africa_del_norte,tunez,64,45,66,47,35,35,41,58,30,33,36,52,salida,2019,175,117,129,121,222,216,151,292,250,542,no,pre-covid,136.45,138.05,133.6,136.24,136.24,8.39,8.12,9.03,8.69,8.52,no
